bund_nr,lfd_nr,baumkennzahl,zwiesel,bart,alter,alter_methode,d_mess,bhd_hoehe,hoehe,kransatz,azi,hori,kraft,schi
130028,21,3,0,gki,70,1,NA,NA,NA,NA,6,316,NA,NA
130028,22,1,0,gki,97,1,350,130,NA,NA,387,938,2,1
130028,23,1,0,gfi,40,5,172,130,NA,NA,388,1170,2,2
130028,24,1,0,gki,97,1,466,130,NA,NA,389,1583,2,1
130028,25,1,0,gki,97,1,393,130,285,218,3,1620,2,1
130028,26,3,0,gki,70,1,NA,NA,NA,NA,22,1127,NA,NA
130028,27,1,0,gki,97,1,411,130,231,188,32,1702,3,1
130028,28,1,0,gki,97,1,455,130,258,185,51,1533,2,1
130028,29,1,0,gki,97,1,340,130,275,191,69,1492,3,1
130028,30,1,0,gki,97,1,447,130,NA,NA,73,1498,1,1
130028,31,1,0,gki,97,1,301,130,NA,NA,67,1245,3,1
130028,32,1,0,gki,97,1,521,130,238,163,94,1695,1,1
130028,33,1,0,gki,97,1,341,130,263,178,102,1119,2,1
130028,34,1,0,sbi,40,5,171,130,NA,NA,100,1015,NA,2
130028,35,3,0,sbi,30,5,NA,NA,NA,NA,89,998,NA,NA
130028,36,3,0,vbe,40,5,NA,NA,NA,NA,84,903,NA,NA
