"";"plot_ID";"e_ID";"inv_year";"CCS_r_m";"inter_stat";"area_m2";"stand"
"417";50141;1;2012;12,62;"no intersections";0;"no forest"
"418";50141;0;2012;12,62;"0";500,115280165221;"A"
"419";50141;1;2012;5,64;"no intersections";0;"no forest"
"420";50141;0;2012;5,64;"0";99,8871500254027;"A"
"421";50142;2;2012;17,84;"no intersections";0;"no forest"
"422";50142;0;2012;17,84;"0";999,404070908204;"A"
"423";50142;2;2012;12,62;"no intersections";0;"no forest"
"424";50142;0;2012;12,62;"0";500,115280170925;"A"
"425";50142;2;2012;5,64;"no intersections";0;"no forest"
"426";50142;0;2012;5,64;"0";99,8871500284295;"A"
"427";50144;1;2012;17,84;"partly intersecting";276,028216822073;"B"
"428";50144;0;2012;17,84;"0";723,37585406797;"A"
"429";50144;1;2012;12,62;"partly intersecting";95,5361883272417;"B"
"430";50144;0;2012;12,62;"0";404,579091835534;"A"
"431";50144;1;2012;5,64;"no intersections";0;"B"
"432";50144;0;2012;5,64;"0";99,8871500247042;"A"
"433";50145;2;2012;17,84;"no intersections";0;"no forest"
"434";50145;1;2012;17,84;"partly intersecting";34,8531880620867;"B"
"435";50145;0;2012;17,84;"0";964,550882864045;"A"
"436";50145;2;2012;12,62;"no intersections";0;"no forest"
"437";50145;1;2012;12,62;"no intersections";0;"B"
"438";50145;0;2012;12,62;"0";500,115280204918;"A"
"439";50145;2;2012;5,64;"no intersections";0;"no forest"
"440";50145;1;2012;5,64;"no intersections";0;"B"
"441";50145;0;2012;5,64;"0";99,8871500238311;"A"
