"";"stand_component";"plot_ID";"inv";"compartiment";"SP_code";"B_t_ha";"C_t_ha";"N_t_ha";"stand";"n_ha";"n_SP"
"188";"RG";140046;"BZE3";"bg";"gfi";4,83869534500228;2,41934767250115;0,0200321987283094;"all";NA;NA
"189";"RG";140046;"BZE3";"fwb";"gfi";9,79973133866374;4,89986566933187;0,0425602332038166;"all";NA;NA
"190";"RG";140046;"BZE3";"ndl";"gfi";3,28334928282722;1,64167464141361;0;"all";NA;NA
"191";"RG";140046;"BZE3";"total";"gfi";4,48044399162331;2,24022199581166;0,031296215966063;"all";NA;NA
"192";"RG";140046;"BZE3";"ag";"all";7,80129004024798;3,90064502012399;0,0631883895050604;"A";NA;NA
"193";"RG";140046;"BZE3";"ag";"all";2,9564013846066;1,4782006923033;0,0135687417156959;"B";NA;NA
"194";"RG";140046;"BZE3";"ag";"all";0,669787925251185;0,334893962625592;0,00368544944667185;"C";NA;NA
"195";"RG";140046;"BZE3";"bg";"all";4,83869534500228;2,41934767250115;0,0200321987283094;"A";NA;NA
"196";"RG";140046;"BZE3";"fwb";"all";9,79973133866374;4,89986566933187;0,0425602332038166;"A";NA;NA
"197";"RG";140046;"BZE3";"ndl";"all";3,28334928282722;1,64167464141361;0;"A";NA;NA
"198";"RG";140046;"BZE3";"total";"all";4,48044399162331;2,24022199581166;0,031296215966063;"A";NA;NA
"199";"RG";140046;"BZE3";"ag";"all";11,4274793501058;5,71373967505288;0,0804425806674281;"all";184665,686509447;3
"200";"RG";140046;"BZE3";"bg";"all";4,83869534500228;2,41934767250115;0,0200321987283094;"all";184665,686509447;3
"201";"RG";140046;"BZE3";"fwb";"all";9,79973133866374;4,89986566933187;0,0425602332038166;"all";184665,686509447;3
"202";"RG";140046;"BZE3";"ndl";"all";3,28334928282722;1,64167464141361;0;"all";184665,686509447;3
"203";"RG";140046;"BZE3";"total";"all";4,48044399162331;2,24022199581166;0,031296215966063;"all";184665,686509447;3
"204";"RG";140047;"BZE3";"ag";"gfi";0,883378795349957;0,441689397674979;0,00315365209983367;"all";NA;NA
"205";"RG";140047;"BZE3";"ag";NA;0;0;0;"all";NA;NA
"206";"RG";140047;"BZE3";"bg";"gfi";0,272804029507737;0,136402014753868;0,00112940868216203;"all";NA;NA
"207";"RG";140047;"BZE3";"bg";NA;0;0;0;"all";NA;NA
"208";"RG";140047;"BZE3";"fwb";"gfi";0,652716517995848;0,326358258997924;0,00283474783765597;"all";NA;NA
"209";"RG";140047;"BZE3";"ndl";"gfi";0,157232790322632;0,0786163951613159;0;"all";NA;NA
"210";"RG";140047;"BZE3";"total";"gfi";1,08275333782622;0,541376668913108;0,003964156519818;"all";NA;NA
"211";"RG";140047;"BZE3";"total";NA;0;0;0;"all";NA;NA
"212";"RG";140047;"BZE3";"ag";"all";0,883378795349957;0,441689397674979;0,00315365209983367;"A";NA;NA
"213";"RG";140047;"BZE3";"ag";"all";0;0;0;NA;NA;NA
"214";"RG";140047;"BZE3";"bg";"all";0,272804029507737;0,136402014753868;0,00112940868216203;"A";NA;NA
"215";"RG";140047;"BZE3";"bg";"all";0;0;0;NA;NA;NA
"216";"RG";140047;"BZE3";"fwb";"all";0,652716517995848;0,326358258997924;0,00283474783765597;"A";NA;NA
"217";"RG";140047;"BZE3";"ndl";"all";0,157232790322632;0,0786163951613159;0;"A";NA;NA
"218";"RG";140047;"BZE3";"total";"all";1,08275333782622;0,541376668913108;0,003964156519818;"A";NA;NA
"219";"RG";140047;"BZE3";"total";"all";0;0;0;NA;NA;NA
"220";"RG";140047;"BZE3";"ag";"all";0,883378795349957;0,441689397674979;0,00315365209983367;"all";1092,48311508913;1
"221";"RG";140047;"BZE3";"bg";"all";0,272804029507737;0,136402014753868;0,00112940868216203;"all";1092,48311508913;1
"222";"RG";140047;"BZE3";"fwb";"all";0,652716517995848;0,326358258997924;0,00283474783765597;"all";1092,48311508913;1
"223";"RG";140047;"BZE3";"ndl";"all";0,157232790322632;0,0786163951613159;0;"all";1092,48311508913;1
"224";"RG";140047;"BZE3";"total";"all";1,08275333782622;0,541376668913108;0,003964156519818;"all";1092,48311508913;1
"225";"RG";140048;"BZE3";"ag";"ela";0,744034249920088;0,372017124960044;0,0022238337264618;"all";NA;NA
"226";"RG";140048;"BZE3";"ag";"gfi";32,9498161725532;16,4749080862766;0,116636238237846;"all";NA;NA
"227";"RG";140048;"BZE3";"ag";"rbu";0,0400047479788964;0,0200023739894482;0,000184061845450903;"all";NA;NA
"228";"RG";140048;"BZE3";"bg";"ela";0,280247746655339;0,14012387332767;0,000784693690634948;"all";NA;NA
"229";"RG";140048;"BZE3";"bg";"gfi";10,5705485534828;5,28527427674139;0,0437620710114186;"all";NA;NA
"230";"RG";140048;"BZE3";"fwb";"ela";0,548012253933415;0,274006126966707;0,0022238337264618;"all";NA;NA
"231";"RG";140048;"BZE3";"fwb";"gfi";25,3369165021771;12,6684582510885;0,110038228368955;"all";NA;NA
"232";"RG";140048;"BZE3";"ndl";"ela";0,196021995986674;0,0980109979933368;0;"all";NA;NA
"233";"RG";140048;"BZE3";"ndl";"gfi";6,09367105677012;3,04683552838506;0;"all";NA;NA
"234";"RG";140048;"BZE3";"total";"ela";1,02428199657543;0,512140998287714;0,00300852741709674;"all";NA;NA
"235";"RG";140048;"BZE3";"total";"gfi";42,00113611243;21,000568056215;0,153800299380374;"all";NA;NA
