"stand_component","plot_ID","dw_sp","dw_type","ST_LY_type","decay","compartiment","B_t_ha_diff","C_t_ha_diff","N_t_ha_diff","n_ha_diff","n_dec_diff","n_dw_TY_diff","mean_d_cm_diff","sd_d_cm_diff","mean_l_m_diff","sd_l_m_diff"
"DW","140039","all","all",NA,"all","stb",0.077820034078907,0.038910017039454,0.00033197827900425,-39.9725093848709,-1,-1,4.7879417879418,2.3895911169101,0.039085239085239,0.0868292489169861
"DW","140039","all","all",NA,"all","stw",0.96768103207273,0.48384051603637,0.00060167796676993,-39.9725093848709,-1,-1,4.7879417879418,2.3895911169101,0.039085239085239,0.0868292489169861
"DW","140040","1","1",NA,"3","ag",1.58481587850141,0.792407939250706,0.00767050885194683,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","1",NA,"4","ag",0.362472718322489,0.181236359161244,0.00175436795668085,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","1",NA,"all","ag",-0.98467862246679,-0.4923393112334,-0.0047658445327393,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","4",NA,"3","ag",2.33282202425651,1.16641101212826,0.0112908585974016,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","4",NA,"4","ag",-0.00880140194544299,-0.00440070097272199,-4.259878541595e-05,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","4",NA,"all","ag",-0.34116695256442,-0.1705834762822,0.00797862411162576,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","all",NA,"3","ag",3.91763790275793,1.95881895137896,0.0189613674493484,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","all",NA,"4","ag",0.353671316377045,0.176835658188523,0.0017117691712649,NA,NA,NA,NA,NA,NA,NA
"DW","140040","1","all",NA,"all","ag",-1.32584557503121,-0.6629227875156,0.0032127795788865,NA,NA,NA,10.5665024630542,4.4822909077306,-0.2539408866995,-0.59293826239596
"DW","140040","all","1","L","all","ag",-0.98467862246679,-0.4923393112334,-0.0047658445327393,NA,NA,NA,10.3787878787878,5.1310231208125,-1.04696969696969,-0.57402066619904
"DW","140040","all","1",NA,"3","ag",1.58481587850141,0.792407939250706,0.00767050885194683,NA,NA,NA,NA,NA,NA,NA
"DW","140040","all","1",NA,"4","ag",0.362472718322489,0.181236359161244,0.00175436795668085,NA,NA,NA,NA,NA,NA,NA
"DW","140040","all","4","L","all","ag",-0.34116695256442,-0.1705834762822,0.00797862411162576,NA,NA,NA,12.1527777777778,4.50826455823566,0.094444444444444,-0.000478232164476101
"DW","140040","all","4",NA,"3","ag",2.33282202425651,1.16641101212826,0.0112908585974016,NA,NA,NA,NA,NA,NA,NA
"DW","140040","all","4",NA,"4","ag",-0.00880140194544299,-0.00440070097272199,-4.259878541595e-05,NA,NA,NA,NA,NA,NA,NA
"DW","140040","all","all",NA,"3","ag",3.91763790275793,1.95881895137896,0.0189613674493484,NA,NA,NA,9.2,18.0049375943872,0.71,1.36255478992793
"DW","140040","all","all",NA,"4","ag",0.353671316377045,0.176835658188523,0.0017117691712649,NA,NA,NA,3.6111111111111,11.6260384317535,0.516666666666667,-0.63586561865935
"DW","140040","all","all",NA,"all","ag",-1.32584557503121,-0.6629227875156,0.0032127795788865,-299.793820386531,-2,0,10.5665024630542,4.4822909077306,-0.2539408866995,-0.59293826239596
"DW","140041","1","1",NA,"3","ag",-0.112325792832548,-0.056162896416274,-0.00054365683730954,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","1",NA,"4","ag",0.178335522564993,0.0891677612824964,0.000863143929214564,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","1",NA,"all","ag",-1.2871363594124,-0.643568179706199,-0.00622973997955601,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","3",NA,"4","ag",0.232594352535783,0.116297176267891,0.00112575666627319,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","3",NA,"all","ag",-0.650330519563696,-0.325165259781849,-0.00314759971468829,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","4",NA,"3","ag",1.79419255024978,0.897096275124883,0.00868389194320892,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","4",NA,"4","ag",-0.0719934900706,-0.0359967450353,-0.00034844849194171,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","4",NA,"5","ag",-0.209654511617159,-0.10482725580858,-0.00101472783622705,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","4",NA,"all","ag",-0.28328992543218,-0.14164496271609,0.005288754566364,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","all",NA,"3","ag",0.79894188531774,0.399470942658871,0.00386687872493788,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","all",NA,"4","ag",0.338936385030174,0.169468192515088,0.00164045210354604,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","all",NA,"5","ag",-0.280178746788359,-0.140089373394179,-0.00135606513445565,NA,NA,NA,NA,NA,NA,NA
"DW","140041","1","all",NA,"all","ag",-2.22075680440828,-1.11037840220413,-0.0040885851278803,NA,NA,NA,2.92,1.66620547669671,-0.043591836734694,-0.616093315513915
"DW","140041","2","1",NA,"5","ag",0.0344059940576802,0.0172029970288401,0.000248652119054854,NA,NA,NA,NA,NA,NA,NA
"DW","140041","2","1",NA,"all","ag",-0.368085083672184,-0.184042541836092,-0.00266015089969888,NA,NA,NA,NA,NA,NA,NA
"DW","140041","2","all",NA,"5","ag",0.0344059940576802,0.0172029970288401,0.000248652119054854,NA,NA,NA,NA,NA,NA,NA
