bund_nr,lfd_nr,typ,baumgruppe,anzahl,durchmesser,laenge,zersetzung
50023,33,1,1,-9,17,62,2
50023,34,1,1,-9,18,63,2
50023,35,1,1,-9,12,28,3
50023,36,4,1,-9,17,1,2
50023,37,1,1,-9,12,84,2
50023,38,1,1,-9,17,66,3
50023,39,1,1,-9,9,29,4
50023,40,4,1,-9,33,3,2
50023,41,1,1,-9,25,39,2
50023,43,4,2,-9,40,1,5
50023,44,4,1,-9,24,2,3
50023,45,4,1,-9,23,3,3
50023,46,4,2,-9,12,3,2
50023,47,1,2,-9,7,122,2
50023,48,1,1,-9,19,16,2
50023,49,4,1,-9,16,1,3
50023,50,1,1,-9,11,12,4
50023,51,1,1,-9,10,51,5
50023,52,4,1,-9,17,3,3
50023,53,1,1,-9,12,80,3
50023,54,1,2,-9,9,35,4
50023,55,1,1,-9,10,60,4
50023,56,1,1,-9,20,15,3
50023,57,1,1,-9,15,20,4
50023,58,2,1,-9,10,152,2
50023,59,1,1,-9,10,15,4
50023,60,1,1,-9,8,30,5
50023,61,1,1,-9,18,9,2
50023,62,1,1,-9,11,16,3
50023,63,1,1,-9,9,14,3
50023,64,1,1,-9,19,20,2
50023,65,3,1,-9,17,89,2
50023,66,1,1,-9,12,85,2
50023,67,4,1,-9,17,2,2
50023,68,1,1,-9,12,15,2
