bund_nr,lfd_nr,otprobe,utprobe,grobb_anteil,grobb_fraktion,grobb_methode,grobb_anz,grobb_vol,probennr_grobb,trd_methode,trd_geschaetzt,trd_anz,trd_vol,probennr_trd,grobb_pr_art,trd_pr_art
120028,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,2,5,10,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,3,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,4,20,45,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,5,45,75,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,6,75,115,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,7,115,140,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,8,140,160,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,9,160,180,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,10,180,200,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,11,10,20,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,12,20,40,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120028,13,40,80,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
120029,1,0,5,-9,-9,-9,-9,-9.0,-9,4,-9.0,-9,-9.0,-9,-9,-9
