"","X.1","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group"
"150",150,150,340,"GaE","Gallen-/Färber-Eiche","Quercus fruticosa","Quercus","fruticosa","","LB",45,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"151",151,151,341,"SeE","Steineiche","Quercus ilex","Quercus","ilex","","LB",46,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"152",152,152,342,"VaE","Valonia Eiche","Quercus macrolepis","Quercus","macrolepis","","LB",47,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"153",153,153,343,"FlE","Flaumeiche","Quercus pubescens","Quercus","pubescens","","LB",49,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"154",154,154,345,"PyE","Pyrenäen-Eiche","Quercus pyrenaica","Quercus","pyrenaica","","LB",50,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"155",155,155,346,"SiE","Steineiche","Quercus rotundifolia","Quercus","rotundifolia","","LB",52,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"156",156,156,347,"KoE","Korkeiche","Quercus suber","Quercus","suber","","LB",54,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"157",157,157,348,"MzE","Mazedonische Eiche","Quercus trojana","Quercus","trojana","","LB",55,30011,"EI","FALSCH","Quercus spp.",17,"ei","ei","ei","EI","EI"
"158",158,158,349,"AaW","Asch-Weide","Salix cinerea","Salix","cinerea","","LB",59,30011,"SLB","FALSCH","Salix spp.",34,"bu","aLn","shw","BI","BI"
"159",159,159,350,"LaW","Lavendel-Weide","Salix eleagnos","Salix","eleagnos","","LB",60,30011,"SLB","FALSCH","Salix spp.",34,"bu","aLn","shw","BI","BI"
"160",160,160,351,"AfT","Afrikanische Tamariske","Tamarix africana","Tamarix","africana","","LB",67,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"161",161,161,352,"Jbb","Johannisbrotbaum","Ceratonia siliqua","Ceratonia","siliqua","","LB",75,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"162",162,162,353,"GJb","Gewöhnliche Judasbaum","Cercis siliquastrum","Cercis","siliquastrum","","LB",76,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"163",163,163,354,"BHe","Baumheide","Erica arborea","Erica","arborea","","LB",77,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"164",164,164,355,"SHe","Spanische Besen-Heide","Erica scoparia","Erica","scoparia","","LB",78,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
"165",165,165,356,"ELo","Echte Lorbeer","Laurus nobilis","Laurus","nobilis","","LB",80,30011,"SLB","FALSCH","Magnoliopsida trees",35,"bu","aLn","shw","BI","BI"
