"";"MoMoK_Nr";"Name";"Bundesland";"Datum";"Nr_PK";"Nr";"Baumartengruppe";"TYP";"Hoehe/Laenge [dm]";"Durchmesser [cm]";"Zersetzungsgrad"
"144";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";32;2;4;2;"24";3
"145";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";33;2;4;2;"20";3
"146";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";34;2;4;2;"21.5";5
"147";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";35;2;4;2,2;"23";4
"148";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";36;2;4;2;"28";5
"149";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";37;2;4;2,1;"35";5
"150";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";38;2;4;2,9;"33.5";5
"151";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";39;2;4;2,6;"23";2
"152";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";40;2;4;2,3;"25.5";3
"153";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";41;2;4;2,2;"23";3
"154";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";42;2;4;2;"21";3
"155";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";43;2;4;2,4;"26";5
"156";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";44;2;4;2;"19";2
"157";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";45;2;4;2,7;"32";5
"158";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";46;2;4;3,2;"25.5";1
"159";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";47;2;4;3,6;"32.5";1
"160";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";48;2;4;2,2;"18";4
"161";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";49;2;4;2,9;"36.5";4
"162";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";50;2;5;111;"10";2
"163";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";51;2;1;66;"8";3
"164";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";52;2;1;98;"13";5
"165";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";53;2;1;10;"10";5
"166";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";54;2;1;11;"10.5";2
"167";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";55;2;1;78;"13";4
"168";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";56;2;1;109;"9";2
"169";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";57;2;1;10;"9";2
"170";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";58;2;1;24;"8";4
"171";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";59;2;1;23;"8";3
"172";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";60;2;1;62;"8";3
"173";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";61;2;1;36;"10";3
"174";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";62;2;1;101;"9.5";5
"175";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";63;2;1;37;"9";5
"176";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";64;2;1;83;"9";2
"177";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";65;2;1;95;"8.5";2
"178";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";66;2;1;14;"11.5";3
"179";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";67;2;1;22;"12";5
"180";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";68;2;1;94;"17";4
"181";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";69;2;1;23;"10";5
"182";34010;"Gr. Eisenstraﬂenmoor/Johanngeorgenstadt";"SN";2021-10-14;"2";70;2;1;30;"8";5
"183";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";1;1;1;67;"20";3
"184";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";2;1;1;13;"9";4
"185";32010;"Buxpfuhl/Melchow";"BB";2022-04-20;"MB";3;1;1;8;"13";4
