zwiesel,d_mess,stufe,bhd_hoehe,hoehe,azi,bart,lfd_nr,bund_nr,baumkennzahl,bhd,alter,schi,kransatz,kraft,hori,alter_methode
,359,,130,281,45,gfi,2,50009,-9,,92,1,160,2,1621,6
,312,,130,261,52,gfi,3,50009,-9,,92,1,142,2,1300,6
,519,,130,323,65,gfi,4,50009,-9,,92,1,148,1,868,6
,505,,130,,81,gfi,5,50009,-9,,92,1,,1,1346,6
,362,,130,,94,gfi,6,50009,-9,,92,1,,2,1743,6
,380,,130,,94,gfi,7,50009,-9,,92,1,,2,1089,6
,474,,130,282,125,gfi,8,50009,-9,,92,1,156,2,1751,6
,428,,150,,127,gfi,9,50009,-9,,92,1,,2,685,6
,539,,130,,129,gfi,10,50009,-9,,92,1,,1,1239,6
,408,,130,256,154,gfi,11,50009,-9,,92,1,153,2,1212,6
,430,,130,,188,gfi,12,50009,-9,,92,1,,2,675,6
,385,,150,,213,gfi,13,50009,-9,,92,1,,2,1000,6
,360,,130,,224,gfi,14,50009,-9,,92,1,,2,1287,6
,434,,130,,232,gfi,15,50009,-9,,92,1,,2,1730,6
,426,,130,,236,gfi,16,50009,-9,,92,1,,2,1027,6
,430,,130,,255,gfi,17,50009,-9,,92,1,,2,1490,6
,485,,130,,263,gfi,18,50009,-9,,92,1,,3,1525,6
,492,,130,,272,gfi,19,50009,-9,,92,1,,1,272,6
,409,,130,,281,gfi,20,50009,-9,,92,1,,2,975,6
,325,,130,,295,gfi,21,50009,-9,,92,1,,2,1374,6
,318,,130,,328,gfi,22,50009,-9,,92,1,,3,735,6
,499,,130,,337,gfi,23,50009,-9,,92,1,,2,1216,6
,441,,130,,358,gfi,24,50009,-9,,92,1,,2,675,6
,397,,155,,395,gfi,25,50009,-9,,92,1,,2,1003,6
,403,,130,,15,gfi,26,50009,-9,,92,1,,2,803,6
,80,,130,91,218,sbi,1,50010,-9,,31,1,11,3,262,5
,73,,130,69,274,sbi,2,50010,-9,,26,1,10,3,285,5
,98,,130,89,314,sbi,3,50010,-9,,31,1,10,2,496,5
,149,,130,103,160,sbi,4,50010,-9,,31,1,20,1,516,5
,146,,130,122,209,sbi,5,50010,-9,,31,1,19,1,313,5
,112,,130,,195,sbi,6,50010,-9,,31,1,,2,1104,5
,143,,130,,338,sbi,7,50010,-9,,31,1,,2,1002,5
,118,,130,,370,sbi,8,50010,-9,,28,1,,2,992,5
,120,,130,,309,sbi,9,50010,-9,,31,1,,2,1169,5
,112,,130,,316,sbi,10,50010,-9,,28,1,,2,1195,5
,436,,130,,316,tei,1,50011,-9,,113,1,,2,414,6
,351,,130,,346,tei,2,50011,-9,,113,1,,2,832,6
,483,,130,160,370,tei,3,50011,-9,,113,1,38,1,1504,6
,305,,130,161,379,tei,4,50011,-9,,113,1,49,2,1284,6
,336,,130,,1,tei,5,50011,-9,,113,1,,2,1577,6
,295,,130,,12,tei,6,50011,-9,,113,1,,3,589,6
,353,,130,,45,tei,7,50011,-9,,113,1,,2,1351,6
,428,,130,208,51,rbu,8,50011,-9,,113,1,45,1,1275,6
,435,,130,207,54,rbu,9,50011,-9,,113,1,62,1,1204,6
,236,,130,,56,rbu,10,50011,-9,,113,1,,4,514,6
,410,,130,196,65,rbu,11,50011,-9,,113,1,35,1,470,6
,256,,90,188,73,rbu,12,50011,-9,,113,1,54,3,456,6
,415,,130,200,77,rbu,13,50011,-9,,113,1,97,1,456,6
,267,,130,,83,tei,14,50011,-9,,113,1,,3,668,6
,444,,130,143,106,tei,15,50011,-9,,113,1,63,2,1475,6
,150,,130,95,126,tei,16,50011,-9,,113,1,37,4,1097,6
,345,,130,,127,tei,17,50011,-9,,113,1,,2,1374,6
,374,,130,181,128,tei,18,50011,-9,,113,1,36,2,1668,6
